session_id,base_cart_item_names,base_cart_item_categories,base_cart_item_count,base_cart_value,cart_has_drink,cart_has_dessert,cart_has_side,cart_completion_score
0,Manchurian Gravy | Phirni,main | dessert,2,253.43,0,1,0,0.65
1,Beef Tenderloin,main,1,158.14,0,0,0,0.5
2,Bisi Bele Bath,main,1,175.46,0,0,0,0.5
3,Chole Bhature,main,1,170.42,0,0,0,0.5
4,Kerala Prawn Curry,main,1,220.4,0,0,0,0.5
5,Chicken Biryani | Buttermilk | Raita,main | drink | side,3,647,1,0,1,1
6,Zinger Burger | Pulled Pork Sandwich | Cold Coffee | Jeera Aloo,main | main | drink | side,4,724.85,1,0,1,0.9
7,Bisi Bele Bath | Rava Dosa | Buttermilk,main | main | drink,3,629.08,1,0,0,0.65
8,Appam Stew | Watermelon Juice,main | drink,2,448.76,1,0,0,0.65
9,Mango Sorbet,main,1,192.52,0,0,0,0.5
10,Shahi Mutton,main,1,158.64,0,0,0,0.65
11,Pepperoni Pizza,main,1,109.93,0,0,0,0.6
12,Chole Bhature | Paneer Tikka Masala | Dal Makhani,main | main | main,3,732.65,0,0,0,0.85
13,Dal Makhani | Veg Kadai | Masala Papad,main | main | side,3,651.95,0,0,1,0.75
14,Chicken Wrap | Crispy Chicken Burger,main | main,2,655.67,0,0,0,0.5
15,Pepperoni Pizza | Spaghetti Bolognese | Potato Wedges,main | main | side,3,428.76,0,0,1,0.75
16,Rava Dosa | Masala Dosa | Sugarcane Juice,main | main | drink,3,508.01,1,0,0,0.65
17,Shawarma Platter | Mango Lassi,main | drink,2,315.61,1,0,0,0.65
18,Margherita Pizza,main,1,194.44,0,0,0,0.5
19,Lasagna,main,1,320.51,0,0,0,0.65
20,Fish & Chips | Masala Chai,main | drink,2,224.45,1,0,0,0.65
21,Kerala Prawn Curry | Appam Stew | Choco Lava Cup,main | main | dessert,3,745.46,0,1,0,0.65
22,Crispy Chicken Burger,main,1,164.72,0,0,0,0.65
23,Tiramisu | Gulab Jamun Platter,main | main,2,399.57,0,0,0,0.5
24,Lamb Chops | Chicken Cordon Bleu | Phirni,main | main | dessert,3,571.51,0,1,0,0.65
