session_id,any_addon_added,actual_added_addon_names,actual_added_addon_categories,actual_added_addon_count,actual_added_addon_value,final_order_value
0,0,none,none,0,0,253.43
1,0,none,none,0,0,158.14
2,0,none,none,0,0,175.46
3,0,none,none,0,0,170.42
4,0,none,none,0,0,220.4
5,1,Puri,bread,1,64.9,711.9
6,0,none,none,0,0,724.85
7,0,none,none,0,0,629.08
8,0,none,none,0,0,448.76
9,0,none,none,0,0,192.52
10,1,Virgin Mojito,drink,1,54.88,213.52
11,1,Garlic Bread Sticks,bread,1,39.64,149.57
12,1,Onion Rings | Chicken Rogan Josh | Cheese Naan,side | main | bread,3,443.17,1175.82
13,0,none,none,0,0,651.95
14,0,none,none,0,0,655.67
15,0,none,none,0,0,428.76
16,0,none,none,0,0,508.01
17,0,none,none,0,0,315.61
18,0,none,none,0,0,194.44
19,1,Masala Chai,drink,1,114.88,435.39
20,1,Paneer Tikka,starter,1,110.1,334.55
21,0,none,none,0,0,745.46
22,1,Buttermilk,drink,1,49.05,213.77
23,0,none,none,0,0,399.57
24,0,none,none,0,0,571.51
25,0,none,none,0,0,438.32
26,1,Masala Chai,drink,1,67.93,1007.37
27,0,none,none,0,0,638.75
28,0,none,none,0,0,233.69
29,0,none,none,0,0,385.95
30,1,Fresh Lime Soda,drink,1,87.08,405.12
31,0,none,none,0,0,684.41
32,1,Buttermilk | Mint Chutney,drink | dip,2,78.34,648.54
33,0,none,none,0,0,333.36
34,0,none,none,0,0,304.32
35,0,none,none,0,0,551.87
36,0,none,none,0,0,209.96
37,0,none,none,0,0,265.68
38,0,none,none,0,0,475.8
39,0,none,none,0,0,225.7
40,0,none,none,0,0,500.22
41,0,none,none,0,0,560.34
42,1,Fresh Lime Soda,drink,1,60.06,429.5
43,0,none,none,0,0,343.22
44,0,none,none,0,0,574.52
45,0,none,none,0,0,364.63
46,0,none,none,0,0,535.12
47,0,none,none,0,0,737.93
48,0,none,none,0,0,449.09
49,0,none,none,0,0,356.21
50,0,none,none,0,0,167.91
51,0,none,none,0,0,264.07
52,1,Puri,bread,1,46.73,394.42
53,0,none,none,0,0,499.48
54,0,none,none,0,0,611.63
55,0,none,none,0,0,1181.57
56,0,none,none,0,0,152.87
57,0,none,none,0,0,235.36
58,0,none,none,0,0,251.23
59,0,none,none,0,0,153.22
60,0,none,none,0,0,163.22
61,0,none,none,0,0,1122.33
62,0,none,none,0,0,408.67
63,0,none,none,0,0,278.77
64,0,none,none,0,0,536.81
65,0,none,none,0,0,205.41
66,0,none,none,0,0,327.83
67,1,Egg Fried Rice | Egg Fried Rice,rice | rice,2,347.79,1022.51
68,0,none,none,0,0,172.39
69,1,Garden Salad,side,1,89.5,325.68
70,0,none,none,0,0,445.21
71,0,none,none,0,0,570.62
72,0,none,none,0,0,299.49
73,0,none,none,0,0,315.17
74,0,none,none,0,0,211.03
75,0,none,none,0,0,156.69
76,0,none,none,0,0,151.78
77,0,none,none,0,0,1041.32
78,0,none,none,0,0,237.23
79,0,none,none,0,0,236.8
80,0,none,none,0,0,179.94
81,0,none,none,0,0,306.89
