session_id,user_id,restaurant_id,session_timestamp,hour,day_of_week,meal_time,is_weekend,weather_condition,traffic_density,is_festival_day,estimated_delivery_time,delivery_zone,session_engagement_score,num_past_orders_at_restaurant
0,2342,428,01/01/2025 00:00,21,2,dinner,0,Sunny,Medium,0,72,south,0.44,0
1,1564,52,01/01/2025 00:05,21,4,dinner,0,Cloudy,Medium,0,54,west,0.1983,0
2,3159,386,01/01/2025 00:10,7,5,breakfast,1,Sunny,High,1,64,east,0.49,0
3,1022,95,01/01/2025 00:15,20,3,dinner,0,Sunny,Jam,0,87,north,0.1983,0
4,3883,393,01/01/2025 00:20,19,3,dinner,0,Sunny,Jam,0,61,north,0.6367,0
5,496,623,01/01/2025 00:25,20,0,dinner,0,Cloudy,Low,0,56,east,0.5417,0
6,863,104,01/01/2025 00:30,9,5,breakfast,1,Cloudy,Medium,0,44,south,0.585,0
7,1439,536,01/01/2025 00:35,22,2,dinner,0,Rainy,High,0,37,east,0.2267,0
8,2611,282,01/01/2025 00:40,20,3,dinner,0,Rainy,Low,0,60,west,0.2067,0
9,2281,25,01/01/2025 00:45,17,1,snack,0,Rainy,High,0,48,south,0.3617,0
10,468,70,01/01/2025 00:50,18,2,snack,0,Sunny,High,0,71,south,0.625,0
11,790,568,01/01/2025 00:55,21,3,dinner,0,Windy,High,0,62,west,0.5833,0
12,1559,331,01/01/2025 01:00,14,2,lunch,0,Windy,High,0,43,central,0.42,0
13,2207,538,01/01/2025 01:05,13,0,lunch,0,Sunny,High,0,70,central,0.5067,0
14,1265,635,01/01/2025 01:10,8,0,breakfast,0,Rainy,High,1,59,south,0.3117,0
15,3738,64,01/01/2025 01:15,11,2,lunch,0,Windy,Low,0,23,west,0.25,0
16,230,627,01/01/2025 01:20,22,6,dinner,1,Cloudy,Medium,1,75,north,0.5533,0
17,3257,50,01/01/2025 01:25,22,1,dinner,0,Sunny,Low,0,32,east,0.475,0
18,1739,200,01/01/2025 01:30,18,5,snack,1,Sunny,Jam,0,76,central,0.1633,0
19,3440,427,01/01/2025 01:35,22,5,dinner,1,Cloudy,Jam,0,112,west,0.3967,0
20,2013,363,01/01/2025 01:40,12,3,lunch,0,Sunny,High,1,94,south,0.4633,0
21,3674,467,01/01/2025 01:45,11,2,lunch,0,Fog,Medium,0,56,east,0.4433,0
22,3332,605,01/01/2025 01:50,18,0,snack,0,Cloudy,High,0,84,west,0.4783,0
23,3259,189,01/01/2025 01:55,20,6,dinner,1,Cloudy,Low,0,40,east,0.51,0
24,274,156,01/01/2025 02:00,22,1,dinner,0,Sunny,Jam,0,80,west,0.5067,0
25,3337,401,01/01/2025 02:05,13,1,lunch,0,Cloudy,Medium,0,56,central,0.27,0
26,1304,420,01/01/2025 02:10,14,4,lunch,0,Sunny,Medium,0,42,south,0.3667,0
27,1029,461,01/01/2025 02:15,21,2,dinner,0,Rainy,Jam,0,116,north,0.6033,0
28,2459,94,01/01/2025 02:20,10,1,breakfast,0,Cloudy,Jam,0,97,south,0.5333,0
29,2613,647,01/01/2025 02:25,19,0,dinner,0,Sunny,Low,0,58,central,0.2767,0
30,2278,461,01/01/2025 02:30,13,6,lunch,1,Sunny,Jam,0,116,central,0.0817,0
31,1955,37,01/01/2025 02:35,11,4,lunch,0,Fog,Jam,0,78,east,0.32,0
32,1514,250,01/01/2025 02:40,10,0,breakfast,0,Fog,Medium,0,50,west,0.2933,0
33,425,638,01/01/2025 02:45,6,1,breakfast,0,Cloudy,Medium,0,62,south,0.2183,0
34,3272,195,01/01/2025 02:50,23,2,dinner,0,Sunny,Medium,0,35,east,0.3733,0
35,694,267,01/01/2025 02:55,11,2,lunch,0,Fog,Low,0,31,north,0.4333,0
36,402,617,01/01/2025 03:00,10,5,breakfast,1,Stormy,High,0,61,south,0.24,0
37,623,575,01/01/2025 03:05,22,2,dinner,0,Sunny,High,0,44,east,0.45,0
38,3240,100,01/01/2025 03:10,17,6,snack,1,Cloudy,Medium,0,42,central,0.42,0
39,1305,327,01/01/2025 03:15,10,6,breakfast,1,Cloudy,Low,0,36,east,0.14,0
40,775,122,01/01/2025 03:20,20,4,dinner,0,Sunny,Jam,0,51,west,0.2733,0
