restaurant_id,restaurant_name,restaurant_city,restaurant_cuisine,restaurant_type,restaurant_online_order,restaurant_price_tier,restaurant_rating,restaurant_is_chain,restaurant_delivery_time_avg,restaurant_avg_orders_per_day
428,Great Wall Restaurant - Branch 3,mumbai,chinese,Quick Bites,Yes,1,4.377964037,0,72.2,117
52,SodaBottleOpenerWala,hyderabad,continental,Cafe,No,1,4.023229176,1,54.3,126
386,SLV Corner - Branch 4,chennai,south_indian,Casual Dining,Yes,1,4.150654712,0,51.2,134
95,The Bigg Small Cafe - Branch 2,bengaluru,north_indian,Fine Dining,Yes,1,4.076875007,0,55.9,132
393,Nandhini Restaurant - Branch 4,hyderabad,south_indian,Food Court,No,1,4.213850406,0,39.1,122
623,Biryani By Kilo - Branch 4,hyderabad,biryani,Casual Dining,No,3,4.073557442,0,65.7,44
104,BOX8,chennai,fast_food,Quick Bites,Yes,2,3.662273775,0,43.9,74
536,Nandhini Restaurant - Branch 5,pune,south_indian,Delivery,Yes,2,4.062000336,1,29.5,116
282,Eat South - Branch 3,bengaluru,south_indian,Quick Bites,Yes,3,4.101341751,0,70.6,57
25,Sugar & Spice,hyderabad,desserts,Cafe,No,1,3.786166569,1,38.1,145
70,Saffron House,hyderabad,north_indian,Casual Dining,Yes,1,3.506636103,0,56.9,111
568,Gino's Pizza - Branch 4,bengaluru,italian,Fine Dining,Yes,1,4.623578875,0,49.5,113
331,The Great Kabab Factory - Branch 4,mumbai,north_indian,Casual Dining,Yes,2,3.97737604,0,34.6,84
538,Moti Mahal - Branch 6,bengaluru,north_indian,Casual Dining,Yes,2,3.662483346,1,56.2,84
635,Rebel Foods - Branch 4,bengaluru,fast_food,Delivery,Yes,3,4.187844785,0,47,27
64,Napoli Ristorante,mumbai,italian,Casual Dining,Yes,1,3.818353916,0,27.1,102
627,Hotel Janatha Deluxe - Branch 6,bengaluru,south_indian,Casual Dining,Yes,2,3.818509658,1,75,127
50,Authentic Kebab,bengaluru,arabian,Quick Bites,Yes,2,4.059782575,0,38.1,65
200,La Piazza,delhi,italian,Delivery,Yes,1,3.717784024,0,48.9,127
427,Mama Mia - Branch 3,bengaluru,italian,Casual Dining,Yes,3,4.151909344,1,72,96
363,Bistro 57 - Branch 2,bengaluru,continental,Casual Dining,No,1,4.848748157,0,75,123
467,Hotel Darshini - Branch 4,delhi,south_indian,Casual Dining,Yes,2,4.35550393,0,56,75
605,Express Kitchen - Branch 3,chennai,fast_food,Delivery,Yes,1,4.034478935,1,67.3,129
189,Oven Fresh,chennai,desserts,Bakery,Yes,1,3.851940157,0,46.7,113
156,Fork & Knife,hyderabad,continental,Casual Dining,Yes,2,4.431357315,0,51.3,83
401,Kerala Kitchen - Branch 4,delhi,south_indian,Delivery,Yes,1,3.886874215,1,55.7,124
420,Canton Canteen - Branch 3,delhi,chinese,Food Court,Yes,2,3.559938207,1,42.5,88
461,Il Forno - Branch 3,bengaluru,italian,Fine Dining,Yes,2,4.662104034,0,75,75
94,Haveli Restro,delhi,north_indian,Casual Dining,Yes,1,3.82859871,0,62.7,104
647,Wok to Walk - Branch 5,mumbai,chinese,Casual Dining,Yes,1,4.583786909,0,67.7,121
37,Dragon Palace,kolkata,chinese,Quick Bites,Yes,2,3.474711322,1,50.3,120
250,Fatto a Mano,bengaluru,italian,Casual Dining,No,1,4.506269499,1,49.5,136
638,Mandi House,delhi,arabian,Quick Bites,Yes,1,4.825884814,0,61.5,108
195,Fu Lin Kitchen - Branch 2,mumbai,chinese,Food Court,Yes,2,3.102218699,0,34.7,75
267,CTR Malleswaram - Branch 2,hyderabad,south_indian,Quick Bites,No,1,3.957792798,0,36.7,88
617,Dragon Palace - Branch 5,bengaluru,chinese,Casual Dining,Yes,1,4.341559267,0,49,137
575,The Leela Kitchen - Branch 2,mumbai,continental,Cafe,No,2,4.122867958,0,35.3,70
