user_id,user_segment,user_city,user_preferred_cuisine,user_veg_preference,user_price_sensitivity,user_order_frequency_30d,user_avg_order_value,user_recency_days,user_preferred_addon_category,user_addon_acceptance_rate
2342,mid,mumbai,chinese,0,0.797195508,3,439.0709693,4,drink,0.1251
1564,mid,hyderabad,chinese,1,0.496768436,8,589.9230602,29,dip,0.1032
3159,mid,chennai,south_indian,0,0.392278468,7,586.3487503,2,dip,0.118
1022,budget,bengaluru,north_indian,0,0.623820865,7,260.4252361,27,side,0.05
3883,premium,hyderabad,south_indian,1,0.522527148,10,550.0849386,4,starter,0.2986
496,mid,hyderabad,continental,1,0.36664601,7,601.4902039,9,bread,0.1658
863,mid,chennai,south_indian,0,0.467163497,4,1411.359736,5,dip,0.1411
1439,budget,pune,biryani,0,0.460017165,4,675.1447937,34,side,0.1437
2611,budget,bengaluru,chinese,1,0.613512188,2,700.6033443,22,dip,0.05
2281,budget,hyderabad,desserts,1,0.737508881,4,718.8233005,7,bread,0.091
468,mid,hyderabad,italian,0,0.436594586,9,246.1262796,3,dip,0.246
790,mid,bengaluru,chinese,0,0.543538775,11,1054.95818,2,bread,0.1897
1559,mid,mumbai,italian,1,0.05,8,624.7084256,33,side,0.1887
2207,budget,bengaluru,italian,0,0.659639515,4,1148.151961,6,dip,0.05
1265,premium,bengaluru,fast_food,0,0.435018801,10,344.5236123,29,starter,0.2292
3738,mid,mumbai,arabian,0,0.523870154,5,803.8931096,31,side,0.1615
230,budget,bengaluru,continental,0,0.05,4,611.1092631,2,bread,0.2227
3257,budget,bengaluru,biryani,0,0.668244335,8,742.0483816,11,bread,0.0894
1739,budget,delhi,italian,1,0.553245571,4,713.1837018,24,bread,0.05
3440,budget,bengaluru,arabian,1,0.585225271,5,248.2939188,6,side,0.0928
2013,mid,bengaluru,continental,0,0.581236501,3,159.9361113,2,drink,0.2093
3674,premium,delhi,italian,0,0.05,9,1003.652814,31,dessert,0.2914
3332,budget,chennai,continental,0,0.477584418,7,654.9374751,3,side,0.0982
3259,budget,chennai,desserts,0,0.36963067,5,485.0006442,2,bread,0.1367
274,mid,hyderabad,continental,0,0.446884644,3,555.9447892,4,dip,0.1807
3337,mid,delhi,continental,0,0.414200674,3,408.7657659,40,bread,0.1919
1304,mid,delhi,north_indian,1,0.484524401,10,896.5096776,33,bread,0.1608
1029,budget,bengaluru,chinese,1,0.466440876,9,580.4509243,2,dip,0.1131
